分類,英語名,日本語名,汉语名,Comment,
Start,New Game,はじめから,开始游戏,,
Start,Continue,続きから,继续游戏,,
Start,Options,設定,系统设定,,
Config,Always Dash,常時ダッシュ,自动跑步,,
Config,Command Remember,コマンド記憶,记忆指令,,
Config,BGM Volume,BGM音量,BGM音量,,
Config,BGS Volume,BGS音量,BGS音量,,
Config,ME Volume,ME音量,ME音量,,
Config,SE Volume,SE音量,SE音量,,
Menu,Item,アイテム,物品,,
Menu,Status,ステータス,状态,,
Menu,Options,設定,设置,,
Menu,Game End,ゲーム終了,游戏结束,,
Item,Weapon,武器,武器,,
Item,Armor,防具,防具,,
Item,Key Item,大事なもの,重要物品,,
Status,Attack,攻撃力,攻击力,,
Status,Defense,防御力,防御力,,
Status,M.Attack,特殊攻撃力,特殊攻击力,,
Status,M.Defense,特殊防御力,特殊防御力,,
Status,Agility,素早さ,速度,,
Status,Luck,運,运气,,
Status,Current EXP,現在のEXP,当前经验值,,
Status,To Next Level,次のLevel,下一级所需经验,,
Job,Hero,勇者,勇者,,
Battle,,xxxが襲いかかってきた,xxx发动了攻击,,
Battle,,攻撃,攻击,,
Battle,,魔法,魔防,,
Battle,,防御,防御,,
Battle,,アイテム,物品,,
Battle,,xxxの攻撃は効果がなかった,xxx的攻击无效,,
Battle,,xxxは逃げ出した,xxx逃走了,,
Item,Takoyaki,タコヤキ,章鱼烧,,
Item,Coola Supreme,コーラ,可乐,,
Item,Fizzy-pop,ドクターペッパー,Dr.Pepper,,
